ReqID, Phase1-Running,Phase2-Runnable,Phase3-Waiting,Gap,Phase2-Running,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,7475,0,0,10646433,30441,6502,12605,3935920,7720,0,0,1064,3699,0,0,990,5769,0,0
2,6360,0,0,4240341,26950,7608,44482,983429,27671,2595,15527,6489,3468,0,0,787,4850,0,0
3,7191,0,0,3926310,16239,0,0,858004,11106,0,0,914,3969,0,0,786,4449,0,0
4,6391,0,0,1817979,15113,0,0,2548641,19470,0,0,1609,3319,0,0,748,5442,0,0
5,7546,0,0,2885986,28793,2932,4540,1024932,10818,0,0,686,3349,0,0,761,7476,0,0
6,9173,0,0,2663017,21564,2486,912,1103158,16872,0,0,966,2277,0,0,505,3864,0,0
7,6815,0,0,2566251,19174,10406,53256,1091519,7446,0,0,658,2743,0,0,760,4564,0,0
8,8212,0,0,2914765,22042,0,0,764712,7898,0,0,574,2026,0,0,531,3450,0,0
9,7200,0,0,2670760,23171,2372,2719,964391,9155,0,0,917,3007,0,0,809,7076,3244,0
10,7932,0,0,2766444,21269,0,0,858231,6505,0,0,805,3573,0,0,766,4695,0,0
11,11732,0,0,2641028,25369,2233,9136,946385,6755,0,0,552,2047,0,0,514,3260,0,0
12,6322,0,0,2562082,14398,0,0,1031098,9542,0,0,588,2202,0,0,691,3427,0,0
13,10150,0,0,2599350,29448,0,0,963931,4485,0,0,590,1864,0,0,535,3093,0,0
14,10967,0,0,2731901,16632,0,0,818489,13080,0,0,845,2289,0,0,523,3261,0,0
15,7990,0,0,2563800,30719,11771,49994,902664,7827,0,0,941,2780,0,0,737,4313,0,0
16,6426,0,0,2424931,40021,4385,16481,1047222,11677,0,0,872,13045,0,0,743,4678,0,0
17,7079,0,0,2576408,12901,0,0,942863,9379,0,0,1187,3087,0,0,824,4285,0,0
18,14217,0,0,2544530,27202,5260,30900,899174,15123,0,0,1197,4270,0,0,948,4010,0,0
19,7254,0,0,2597265,14444,0,0,900931,5696,0,0,520,2043,0,0,559,7110,0,0
20,7176,0,0,2445204,26238,2430,5935,1019333,7396,0,0,1072,3989,0,0,1297,5620,0,0
21,6577,0,0,2567149,13421,0,0,910745,10625,0,0,855,2188,0,0,521,3566,0,0
22,9829,0,0,2587861,17997,0,0,866503,12936,2534,1253,890,2294,0,0,503,3541,0,0
23,9441,0,0,2457324,17400,0,0,994061,9760,0,0,1060,2963,0,0,823,3980,0,0
24,6803,0,0,2418955,16513,0,0,1027251,8869,0,0,939,3148,0,0,805,4407,0,0
25,7880,0,0,2582352,17932,0,0,847940,13115,0,0,972,3109,0,0,768,4704,0,0
26,11803,0,0,2356620,24636,2909,2437,1052600,10860,0,0,859,2768,0,0,710,4123,0,0
27,10780,0,0,2411717,18721,0,0,1006428,4972,0,0,541,1952,0,0,557,6200,0,0
28,6664,0,0,2500726,13898,0,0,904621,19914,0,0,897,2248,0,0,515,3959,0,0
29,8353,0,0,2495788,17513,0,0,906393,9021,0,0,964,2408,0,0,750,4043,0,0
30,10982,0,0,2365101,20338,0,0,1027612,6668,0,0,585,2130,0,0,565,3374,0,0
31,18419,0,0,2499713,17132,0,0,870664,11519,0,0,554,2170,0,0,513,8837,0,0
32,6666,0,0,2514400,13663,0,0,872284,8372,0,0,571,2098,0,0,522,3357,0,0
33,7465,0,0,2623732,14362,0,0,753221,7250,0,0,796,3006,0,0,784,3907,0,0
34,6737,0,0,2580377,13130,0,0,792142,8671,0,0,543,1996,0,0,501,2861,0,0
35,6992,0,0,2379147,12461,0,0,985066,9000,0,0,570,2136,0,0,509,3429,0,0
36,10547,0,0,2452714,16937,0,0,891309,7388,0,0,590,2166,0,0,543,7469,2261,0
37,11696,0,0,2190487,36130,6270,50161,1072564,8106,0,0,623,2532,0,0,726,5109,0,0
38,13744,0,0,2413807,25860,1989,200,904977,9395,0,0,588,2130,0,0,513,3720,0,0
39,7914,0,0,2404474,9162,0,0,925233,12950,1907,920,651,2307,0,0,533,3423,0,0
40,11245,0,0,2474308,14563,0,0,835252,10950,2409,732,817,2096,0,0,531,6537,2217,469
41,7557,0,0,2583289,14742,0,0,716639,15182,2451,7489,920,2337,0,0,530,3710,0,0
42,11880,0,0,2594765,13670,0,0,708080,10101,0,0,821,3124,0,0,794,4228,0,0
43,6473,0,0,2526237,13527,0,0,777564,9020,0,0,600,2152,0,0,543,3907,0,0
44,17192,0,0,2239185,30449,6155,58696,964424,7973,0,0,837,3083,0,0,815,3720,0,0
45,6549,0,0,2435669,13322,0,0,850675,9434,0,0,656,2183,0,0,509,6309,0,0
46,6448,0,0,2406916,25807,2742,2673,853665,8869,0,0,980,2586,0,0,808,6512,0,0
47,15179,0,0,2355889,17798,0,0,893114,8890,0,0,910,2648,0,0,763,11702,2561,1305
48,9903,0,0,2334368,31310,2551,3497,903703,10760,0,0,569,2200,0,0,504,3774,0,0
49,11762,0,0,2230031,25875,6108,3504,1000308,8525,0,0,734,3113,0,0,760,4767,0,0
50,11696,0,0,2423176,9474,0,0,826279,7847,0,0,864,2917,0,0,831,4712,0,0
51,11834,0,0,2526006,14623,0,0,714244,6910,0,0,570,2087,0,0,530,3183,0,0
52,8178,0,0,2241822,16193,0,0,989525,8456,0,0,899,2885,0,0,566,3664,0,0
53,15382,0,0,2284867,15594,0,0,934753,6327,0,0,593,2347,0,0,517,3714,0,0
54,10625,5522,0,2152471,42272,8234,19104,1002300,8480,0,0,602,2130,0,0,511,3490,0,0
55,8310,0,0,2289893,15131,0,0,903422,8805,0,0,572,2061,0,0,520,9518,5435,3837
56,6531,0,0,2214834,17609,0,0,984322,8399,0,0,555,2167,0,0,513,4295,0,0
57,9734,0,0,2443443,9576,0,0,752772,7831,0,0,608,2327,0,0,545,3338,0,0
58,12911,0,0,2339075,18073,0,0,837891,6216,0,0,539,2075,0,0,508,3368,0,0
