ReqID, Phase1-Running,Phase2-Runnable,Phase3-Waiting,Gap,Phase2-Running,6,7,8,9,10,11,12,13,14,15,16,17,18,19
81,7594,0,0,1649395,27247,4700,13936,963617,7963,0,0,572,2236,0,0,559,5505,0,0
82,6393,0,0,1765600,17046,0,0,836068,12801,0,0,578,2318,0,0,582,5087,0,0
83,6513,0,0,1464873,18392,0,0,1106455,6845,0,0,569,2193,0,0,517,4033,0,0
84,14148,6111,0,1511469,21221,0,0,1004870,8097,0,0,578,2159,0,0,2377,3347,0,0
85,6428,0,0,1530633,27203,4478,35150,914489,11242,2299,473,623,2254,0,0,518,3442,0,0
86,13122,3520,0,1368732,30209,4523,16035,1050230,9803,0,0,669,2277,0,0,510,3840,0,0
87,11747,6318,0,1559818,23135,2289,4951,844610,6975,0,0,559,2252,0,0,517,5080,0,0
88,8270,0,0,1341782,20500,0,0,1030261,9641,0,0,576,3269,0,0,767,13460,2574,0
89,11096,0,0,1398982,24703,2530,1204,939305,8486,0,0,663,2151,0,0,501,4245,0,0
90,15541,0,0,1504067,17852,0,0,799075,9173,0,0,812,3157,0,0,777,4510,0,0
91,12739,0,0,1317367,14425,0,0,937610,11673,5952,0,1112,3107,0,0,742,10348,0,0
92,6516,0,0,1342026,13780,0,0,891804,8094,0,0,966,2766,0,0,770,7080,0,0
93,6559,0,0,1386339,17941,0,0,804580,6682,0,0,556,2149,0,0,525,5969,0,0
94,9190,2932,0,1173201,18990,0,0,957660,16323,0,0,1168,2892,0,0,586,3174,0,0
95,6546,0,0,1276764,18110,0,0,824509,7098,0,0,559,2149,0,0,528,3387,0,0
96,12550,0,0,1143405,14437,0,0,905540,5484,0,0,657,2327,0,0,514,3742,0,0
97,12935,0,0,1109746,12625,0,0,875106,10237,0,0,1006,3187,0,0,798,4849,0,0
98,6832,0,0,1204106,15266,0,0,723334,7502,0,0,557,2071,0,0,506,5000,0,0
99,16054,0,0,914952,15908,0,0,914316,9990,0,0,826,2197,0,0,521,3462,0,0
100,13064,0,0,8921,15043,0,0,942350,10406,0,0,756,2244,0,0,532,3568,0,0
